redis.lettuce.poll.hscan.records-bytes;Int
redis.lettuce.poll.hscan.records-count;Int
redis.lettuce.poll.failure;Duration,Throwable
redis.lettuce.poll.polling;null
redis.lettuce.poll.response;Duration,Int
redis.lettuce.poll.scan.records-bytes;Int
redis.lettuce.poll.scan.records-count;Int
redis.lettuce.poll.sscan.records-bytes;Int
redis.lettuce.poll.sscan.records-count;Int
redis.lettuce.poll.zscan.records-bytes;Int
redis.lettuce.poll.zscan.records-count;Int
redis.lettuce.save.sending.bytes;Int
redis.lettuce.save.sending.failed;Duration,Throwable
redis.lettuce.save.sent.bytes;Duration,Int
redis.lettuce.streams.consumer.response-time;Long
redis.lettuce.streams.consumer.total-messages;Int
redis.lettuce.streams.sending.bytes;Int
redis.lettuce.streams.sending.failed;Duration,Throwable
redis.lettuce.streams.sent.bytes;Duration,Int
